ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU,,,
Diri,to say,om te sê,të thuash,demək,demək,reći,dir,sa pag-ingon,říct,kunena,dì,yo di,reći,at sige,povedať,reči,a rá,að segja,decir,ütlema,esan,sanoa,dire,sizze,a ràdh,i ddweud,dicir,to ce,e olelo aku,hais,mondani,ikwu,mengatakan,dire,ngomong,gotin,Dicere,teikt,sakyti,soen,untuk berkata,hoe,tghid,ki te mea,zeggen,å si,powiedzieć,dizer,a zice,e fai atu,ho re,kutaura,in la yidhaahdo,kusema,att säga,ngomong,sabihin,söylemek,aytish,để nói,ukuthi,lati sọ,ukusho,,,
Aŭskulti ,listen,luister,dëgjoj,dinləmək,dinləmək,slušati,escoltar,listen,poslouchat,kumvetsera,canta,koute,slušati,Hør efter,počúvať,poslušaj,éisteacht,hlusta,escucha,kuulama,entzun,kuunnella,Ecoutez,Harkje,èisteachd,gwrando,escoitar,saurare,e hoolohe mai,mloog,hallgat,ntị,mendengarkan,ascolta,listen,gûhdarkirin,audite,klausīties,klausyti,lauschtert,mendengar,mihaino,jisimgħu,whakarongo,luister,lytte,słuchać,ouço,asculta,faalogo,mamela,teerera,dhagaysan,kusikiliza,lyssna,ngadangukeun,makinig,dinlemek,tinglash,nghe,lalela,gbọ,ukulalela,,,
Pensi,think,dink,mendoj,düşünmək,düşünmək,misliti,pensar,hunahuna,myslet si,ndikuganiza,E pinsari,panse,razmišljati,tænke,myslieť si,mislim,"I mo thuairimse,",held,pensar,mõtlema,uste,ajatella,pense,tinke,a 'smaoineachadh,meddwl,pensar,tunani,manaʻo,xav tias,gondol,na-eche,berpikir,pensare,mikir,ponijîn,cogitare,domāt,galvoti,mengen,berfikir,mieritreritra,think,whakaaro,denken,synes at,myśleć,pensar,gândi,manatu,nahana,funga,qabaa,kufikiri,tror,mikir,mag-isip,düşünmek,deb o'ylayman,nghĩ,Ndicinga,ro,ukucabanga,,,
Rigardu,look,kyk,look,baxmaq,baxmaq,izgled,mirada,tan-aw,dívej se,kuyang'ana,ochju,gade,izgled,se,look,pogled,cuma,útlit,Mira,vaata,look,Katso,Regardez,sjen,sùil,edrych,mirar,look,nānā,saib,néz,anya,Lihat,Guarda,dipikir,gerrîn,vultus,Skaties,ieškoti,Wanterschlof,rupa,Jereo,ħarsa,titiro,kijken,se,Popatrz,Veja,uite,vaai,talimela,Kutarira,eegno,kuangalia,se,neuteup,hitsura,bak,ko'rinish,nhìn,look,wo,ukubukeka,,,
Silenti,silent,stille,i heshtur,səssiz,səssiz,Silent,silenciós,hilom nga,tichý,chete,zittu,an silans,nijem,stille,tichý,tiho,adh,hljóður,silencio,vaikne,isilik,hiljainen,silencieux,stil,sàmhach,dawel,silencioso,shiru,hāmau,ntsiag to,csendes,nkịtị,diam,silenzioso,bisu,bêdeng,tacet,kluss,tylus,Rekord,senyap,mangina,siekta,puku,stil,stille,cichy,silencioso,tăcut,fīlēmū,khutsitseng,nyarara,aamuseen,kimya,tyst,tiiseun,tahimik,sessiz,jim,im lặng,athule,ipalọlọ,buthule,,,
knabo,boy,seuntjie,djalë,oğlan,oğlan,dječak,noi,nga bata nga lalaki,chlapec,mnyamata,carusu,ti gason,dječak,dreng,chlapec,fant,buachaill,drengur,chico,poiss,mutil,poika,garçon,jonge,gille,bachgen,neno,yaro,keiki kāne,me nyuam tub,fiú,nwa na-enweghị,anak laki-laki,ragazzo,boy,xort,Puer,zēns,berniukas,Jong,budak,zazalahy,tifel,tamaiti,jongen,gutt,chłopak,Garoto,băiat,tama,moshanyana,mukomana,wiil,mvulana,pojke,budak lalaki,batang lalaki,oğlan,bola,con trai,umfana,boy,umfana,,,
koni,to know,om te weet,të dish,bilmək,bilmək,znati,saber,nga masayud,vědět,kudziwa,cunnosce,Konnen,znati,at vide,vedieť,vedeti,go mbeadh a fhios,að vita,saber,teadma,jakin,tietää,à savoir,witte,fios a bhith agad,i gwybod,saber,sani,e `ike,paub,tudni,mara,untuk mengetahui,sapere,ngerti,zanîn,scire,zināt,žinoti,wëssen,untuk tahu,ho fantatra,tkun taf,ki te mohio,weten,å vite,wiedzieć,saber,să știe,ia iloa,ho tseba,kuziva,in la ogaado,kujua,att veta,uninga,para malaman,bilmek,bilmoq,để biết,ukwazi,lati mọ,ukwazi,,,
Skribi,write,skryf,shkruaj,write,write,pisati,escriptura,isulat,napsat,lemba,scrivere,ekri,pisati,skrive,write,pisanje,scríobh,skrifa,escribir,kirjuta,idazketa,kirjoittaa,écrire,skriuwe,a 'sgrìobhadh,ysgrifennu,Write,write,kahakaha iho,sau,ír,dee,menulis,Scrivi,nulis,nivîsîn,scribentes injustitiam,rakstīt,Parašyti,schreiwen,write,soraty,tikteb,Tuhituhi,schrijven,skrive,pisać,escrever,scrie,tusi,"a ngole,",nyora,waxaad u qortaa,andika,skriva,nulis,write,yazmak,yozish,ghi,bhala,kọ,bhala,,,
Vorto,word,woord,fjalë,söz,söz,riječ,paraula,pulong,slovo,mawu,parolla,mo,riječ,ord,slovo,beseda,focal,orðið,palabra,sõna,hitza,sana,mot,wurd,fhacal,word,palabra,kalma,hua'ōlelo,lo lus,szó,okwu,kata,parola,tembung,bêje,sermo,vārds,žodis,Wuert,perkataan,teny,kelma,kupu,woord,ord,słowo,palavra,cuvânt,upu,lentsoe,izwi,erayga,neno,ord,kecap,salita,sözcük,so'z,lời,igama,ọrọ,izwi,,,
Akompani,accompany,vergesel,shoqëroj,müşayiət,müşayiət,pratiti,acompanyar,-uban,doprovázet,kutsagana,viaghja,akonpanye,pratiti,ledsage,sprevádzať,spremljati,ag gabháil,fylgja,acompañar,kaasnema,batera,seurata,accompagner,begeliede,a dhol còmhla,gyd-fynd,seguir,bi,pu,nrog,kísér,eso,menemani,accompagnare,ngancani,hevalrêtîkirin,socius,pavadīt,lydėti,begleeden,menemani,hiaraka,jakkumpanjaw,tahi,begeleiden,ledsage,towarzyszyć,acompanhar,însoți,faatasi,felehetsa,perekedza,raaco,kuongozana,följa,marengan,samahan,eşlik etmek,hamrohlik,đồng hành,ukuhamba,rin,ahambisane,,,
komuniki,communicate,kommunikeer,komunikoj,ünsiyyət,ünsiyyət,komunicirati,comunicar-se,estorya,komunikovat,kulankhulana,cumunicà,kominike,komunicirati,kommunikere,komunikovať,komunicirajo,a chur in iúl,samskipti,comunicar,suhtlema,komunikatu,tiedottaa,communiquer,kommunisearje,conaltradh,cyfathrebu,comunicar,sadarwa,manawalea ana mai iaʻu,sib txuas lus,kommunikálni,ekwurịta okwu,menyampaikan,comunicare,komunikasi,agahdayin,communicare,sazināties,bendrauti,kommunizéieren,berkomunikasi,mampita,jikkomunikaw,kōrero,communiceren,kommunisere,porozumieć się,comunicar,comunica,fesoʻotaʻi,buisana,taurira,isgaadhsiin,kuwasiliana,kommunicera,ngayakeun hubungan,makipag-usap,iletişim kurmak,muloqot,giao tiếp,ukuxoxa,ibasọrọ,ukuxhumana,,,
homoj,people,mense,njerëz,Xalq,Xalq,ljudi,gent,mga tawo,lidé,anthu,populu,moun,narod,mennesker,ľudia,ljudje,daoine,fólk,personas,inimesed,jende,ihmiset,gens,folk,daoine,pobl,persoas,mutane,kanaka,neeg,emberek,ndị mmadụ,orang-orang,persone,wong,gel,populus,cilvēki,žmonės,Leit,orang,olona,nies,iwi,mensen,mennesker,ludzie,pessoas,oameni,tagata,batho,vanhu,dadka,watu,människor,jelema,mga tao,insanlar,odamlar,Mọi người,abantu,eniyan,abantu,,,
vendi,sell,sell,shes,satış,satış,prodaju,vendre,sell,prodat,kugulitsa,vendi,vann,prodati,sælge,sell,prodaja,dhíol,selja,vender,müüa,saldu,myydä,vendre,ferkeapje,reic,gwerthu,Sell,sell,E kuai lilo aku,muag,elad,ere,menjual,vendere,sell,firotin,'vendunt,pārdot,parduoti,verkafen,jual,mivarotra,jbiegħu,hokona,verkopen,selge,Sprzedać,vender,vinde,faʻatau atu,rekisetse,ikatengesa,iibiyay,kuuza,sälja,ngajual,sell,satmak,sotish,bán,ethengisa,ta,ukuthengisa,,,
Havi,have,het,kam,var,var,imati,tenir,adunay,mít,ndi,hannu,gen,imati,har,mať,imajo,agat,hafa,tener,olema,dute,omistaa,avoir,hawwe,tha,cael,ter,da,i,muaj,van,nwere,memiliki,avere,duwe,hebûn,habet,ir,turėti,hunn,mempunyai,manana,għandhom,whai,hebben,ha,mieć,ter,avea,iai,na,vane,waxay leeyihiin,kuwa na,ha,ngabogaan,mayroon,Sahip olmak,bor,có,babe,ni,babe,,,
Litro,liter,liter,litër,litr,litr,litar,litre,litro,litr,lita,litru,lit,litra,liter,liter,liter,lítear,lítra,litro,liiter,litro,litra,litre,liter,liotair,litr,litro,lita,hano,liter,liter,liter,liter,litro,liter,liter,sextarius,litrs,litras,Liter,liter,litatra,litru,rita,liter,liter,litr,litro,litru,lita,litha e le nngwe,fő,liter,lita,liter,liter,litro,litre,litr,lít,ilitha,lita,litre,,,
Akvo,water,water,ujë,su,su,voda,aigua,sa tubig,voda,madzi,"acqua,",dlo,voda,vand,voda,voda,uisce,vatn,agua,vesi,ur,vesi,l'eau,wetter,uisge,dŵr,auga,ruwa,ka wai,dej,víz,mmiri,air,acqua,banyu,av,aqua,ūdens,vanduo,Waasser,air,rano,ilma,wai,water,vann,woda,água,apă,vai,metsi,mvura,biyaha,maji,vatten,cai,tubig,Su,suv,Nước,amanzi,omi,amanzi,,,
Manĝi ,eat,eet,ha,yemək,yemək,jesti,menjar,sa pagkaon sa,jíst,kudya,manghjà,manje,jesti,spise,jesť,jesti,ithe,borða,comer,sööma,jan,syödä,manger,ite,ithe,bwyta,comer,ci,ai,noj,eszik,eri,makan,mangiare,mangan,xwarin,manducare,ēst,valgyti,iessen,makan,mihinana,jieklu,kai,eten,spise,jeść,comer,mânca,ai,ja,udye,cunin,kula,äta,dahar,kumain,yemek,yemoq,ăn,udle,jẹ,udle,,,
Forko,fork,vurk,pirun,çəngəl,çəngəl,viljuška,forquilla,kakha,Vidlička,mphanda,forchetta,fouchèt,viljuška,gaffel,vidlička,vilice,forc,gaffal,tenedor,kahvel,fork,haarukka,fourchette,foarke,forc,fforch,garfo,cokali mai yatsu,ke'ō,diav rawg,Villa,ndụdụ,garpu,forchetta,garpu,milêv,furca,dakša,šakės,Forschett,garpu,fork,furketta,marau,vork,gaffel,widelec,garfo,furculiţă,tui,fereko,mhararano,fargeeto,uma,gaffel,garpuh,tinidor,çatal,vilka,cái nĩa,fork,orita,ekuphambukeni,,,
Amiko,friend,vriend,mik,dost,dost,prijatelj,amic,higala,přítel,bwenzi,amicu,zanmi,prijatelj,ven,priateľ,prijatelj,cara,vinur,amigo,sõber,Lagun,ystävä,ami,freon,caraid,ffrind,amigo,aboki,hoa,phooj ywg,barát,enyi,teman,amico,kanca,heval,amica,draugs,draugas,Frënd,rakan,namana,ħabib,hoa,vriend,venn,przyjaciel,amigo,prieten,uō,motsoalle,shamwari,saaxiib,rafiki,vän,sobat,kaibigan,arkadaş,do'st,người bạn,umhlobo,ore,umngane,,,
teda,tedious,vervelige,i lodhshëm,yorucu,yorucu,dosadan,tediós,kapoy,zdlouhavý,chosasangalatsa,stage,fatigan,dosadan,kedelig,zdĺhavý,dolgočasno,tedious,leiðinlegur,tedioso,tüütu,aspergarri,ikävä,fastidieux,ferfeelsum,màirnealach,diflas,tedioso,tedious,o hooluhi aku,tsho,unalmas,tedious,membosankan,noioso,siluman,Pişti,longum,garlaicīgs,nuobodus,tedious,membosankan,mandreraka,tedious,taku whakaware,saai,langtekkelig,nudny,tedioso,plictisitor,e faigata,tedious,richikunetesa,daalin,tedious,tråkig,tedious,nakakapagod,sıkıcı,zerikarli,buồn chán,sakubambezela,tedious,eyisicefe,,,
aferoj,issues,kwessies,çështjet,məsələlər,məsələlər,problemi,qüestions,mga isyu,problémy,nkhani,imbusci,pwoblèm,pitanja,problemer,problémy,vprašanja,ceisteanna,vandamál,cuestiones,küsimused,gaiak,kysymykset,problèmes,saken,cùisean,materion,cuestións,al'amurran da suka shafi,nīnūnē,teeb meem,problémák,mbipụta,masalah,problemi,masalah,pirsên,quaestiones,jautājumi,Problemos,Problemer,isu-isu,olana,kwistjonijiet,take,kwesties,problemer,problemy,problemas,probleme,mataupu,litokollo tsa,nyaya,arrimaha,mambo,frågor,isu,mga isyu,sorunlar,masalalar,vấn đề,imiba,oran,nezindaba,,,
Oceano,Ocean,Oseaan,oqean,okean,okean,okean,oceà,Ocean,Oceán,Ocean,Ocean,Oseyan,ocean,Ocean,oceán,ocean,Ocean,Ocean,Oceano,ookean,Ocean,valtameri,Océan,Oseaan,Ocean,Ocean,océano,Ocean,"moana, kai",dej hiav txwv,óceán,Ocean,Lautan,Oceano,Ocean,Derya,Oceani,okeāns,vandenynas,Ocean,laut,Ocean,Oċean,Ocean,Oceaan,hav,Ocean,oceano,Ocean,vasa,Ocean,gungwa,Ocean,Bahari,Hav,sagara,karagatan,Okyanus,okean,đại dương,Ocean,Ocean,Ocean,,,
tablo,table,tafel,tabelë,masa,masa,sto,taula,lamesa,stůl,tebulo,tàvula,tab,stol,bord,stôl,miza,tábla,Taflan,mesa,tabel,taula,pöytä,table,tafel,Clàr,bwrdd,mesa,tebur,papaʻaina,rooj,asztal,table,meja,tavolo,Tabel,mêz,mensa,tabula,lentelė,Dësch,Rajah,table,tabella,ripanga,tafel,bord,stół,mesa,masa,laulau,tafole,tafura,miis,meza,tabell,meja,mesa,tablo,stol,bàn,itheyibhile,tabili,ithebula,,,
Arbo,tree,boom,pemë,ağac,ağac,drvo,arbre,kahoy,strom,mtengo,àrbulu,pyebwa,drvo,træ,strom,drevo,crann,tré,árbol,puu,zuhaitz,puu,arbre,beam,craobh,coeden,árbore,itãciya,kumulāʻau,tsob ntoo,fa,osisi,pohon,albero,wit,dar,Arbor,koks,medis,Bam,pokok,hazo,siġra,rakau,boom,tre,drzewo,árvore,copac,lāʻau,sefate,muti,geed,mti,träd,tangkal,puno,ağaç,daraxt,cây,imithi,igi,isihlahla,,,
Ĉielo,sky,lug,qiell,səma,səma,nebo,cel,langit,nebe,thambo,celu,syèl,nebo,himmel,neba,nebo,spéir,himinn,cielo,taevas,zerua,taivas,ciel,himel,sky,awyr,ceo,sama,lani,ntuj,ég,igwe,langit,cielo,langit,asûman,caelum,debesis,dangus,Himmel,langit,lanitra,sema,rangi,lucht,himmel,niebo,céu,cer,lagi,sepakapakeng,denga,samada,anga,himmel,langit,langit,gökyüzü,osmon,bầu trời,isibhakabhaka,ọrun,esibhakabhakeni,,,
Arko,arc,boog,hark,qövs,qövs,luk,arc,arko,oblouk,Arc,arco,arc ak,luk,bue,oblúk,lok,stua,bogi,arco,kaar,arku,kaari,arc,bôge,arc,arc,arco,arc,piʻo,arc,ív,aak,busur,arco,busar,taqa,arcus,loks,lankas,Arc,arc,Arc,ark,pewa,boog,bue,łuk,arco,arc,loʻu,selikalikoe,chinhu chakakombama,arc,safu,båge,Gandewa,arko,ark,yoy,hình cung,arc,aaki,arc,,,
Loĝi ,live,leef,jetojnë,canlı,canlı,uživo,en viu,live,žít,moyo,Live,ap viv,uživo,Direkte,žiť,v živo,beo,lifa,En Vivo,live,zuzeneko,elää,vivre,libje,beò,byw,ao vivo,live,ola,nyob,élő,ndụ,hidup,vivere,urip,jîyan,vivet,tiešraide,Live,liewen,sebenar,velona,jgħix,ora,leven,bo,relacja na żywo,viver,Trăi,ola,a ke a phele,mhenyu,live,kuishi,leva,hirup,live na,canlı,jonli,trực tiếp,ephilayo,ifiwe,bukhoma,,,
Granda,great,groot,i madh,böyük,böyük,velik,gran,dakung,skvělý,zopambana,perfettu,gwo,Sjajno,store,skvelý,Super,mór,mikill,genial,suur,handia,loistava,génial,grut,sgoinneil,mawr,gran,mai girma,nui,zoo,nagy,nnukwu,Bagus,grande,gedhe,ecêb,magna,liels,puikus,super,hebat,lehibe,kbira,nui,Super goed,flott,świetny,ótimo,Grozav,matagofie,haholo,hukuru,weyn,kubwa,bra,gede,malaki,harika,buyuk,tuyệt quá,kakhulu,nla,omkhulu,,,
Domo,house,huis,shtëpi,ev,ev,kuća,casa,balay,Dům,nyumba,Gîte,kay,kuća,hus,dom,hiša,teach,Húsið,casa,maja,etxe,talo,maison,hûs,taigh,tŷ,casa,gidan,ka hale o,tsev,ház,ụlọ,rumah,Casa,house,xanî,domum or casa,māja,namas,Haus,rumah,trano,dar,whare,huis,hus,dom,casa,casă,fale,ntlo,imba,guri,nyumba,hus,imah,bahay,ev,uy,nhà ở,indlu,ile,indlu,,,
Libro,book,boek,libër,kitab,kitab,knjiga,llibre,basahon,rezervovat,buku,libru,Liv,knjiga,Bestil,kniha,knjiga,leabhar,bók,libro,raamat,liburu,kirja,livre,boek,leabhar,llyfr,libro,littafin,puke,phau ntawv,könyv,akwụkwọ,buku,libro,buku,pirtûk,liber,grāmata,knyga,Buch,buku,boky,ktieb,pukapuka,boek,bok,książka,livro,carte,tusi,buka,bhuku,buugga,kitabu,bok,buku,libro,kitap,kitob,sách,incwadi,iwe,incwadi,,,
Meti,to put,om te sit,te vendosesh,qoymaq,qoymaq,staviti,posar,sa mikuot,"k tomu, aby",kuika,à l,mete,staviti,at sætte,položiť,položiti,Cuir,að setja,poner,panema,jarri,laittaa,mettre,Sette,a chur,i rhoi,poñer,to sa,i ka waiho,rau muab,rakni,na tinyere,untuk menempatkan,mettere,kanggo sijine,to put,ponere,ielikt,padėti,leeen,untuk letak,mametraka,tpoggi,ki ai ki,put,å legge,położyć,colocar,a pune,e tuu,ho etelletsa lintho,kuisa,in ku shubtaa,kuweka,att lägga,nempatkeun,upang ilagay,koymak,qo'ymoq,để đặt,ukubeka,to fi,ukubeka,,,
jaro,year,jaar,vit,il,il,godina,curs,tuig,rok,chaka,annu,ane,godina,år,rok,leto,bhliain,ári,año,aasta,Urte,vuosi,année,jier,bliadhna,flwyddyn,ano,shekara,makahiki,xyoo,év,afọ,tahun,anno,taun,sal,annos singulos,gads,metai,Joer,tahun,taona,sena,tau,jaar,år,rok,ano,an,tausaga,selemo,gore,sanadkii,mwaka,år,taun,taon,yıl,yil,năm,unyaka,odun,ngonyaka,,,
Horo,time,tyd,kohë,vaxt,vaxt,vrijeme,temps,panahon,čas,nthawi,tempu,tan,vrijeme,tid,čas,čas,am,tími,hora,aeg,denbora,aika,temps,tiid,ùine,amser,tempo,lokaci,manawa,lub sij hawm,idő,oge,waktu,tempo,wektu,dem,tempus,laiks,laikas,Zäit,masa,fotoana,ħin,wā,tijd,tid,czas,Tempo,timp,taimi,nako,nguva,waqtiga,wakati,tid,waktu,oras,zaman,vaqt,thời gian,ixesha,aago,isikhathi,,,
Trinki,drinking,drink,pijshëm,içməli,içməli,pijenje,beguda,inom,pití,kumwa,bere,bwè,piće,drikke,pitie,pitje,ól,drekka,Bebiendo,joomine,edateko,juominen,en buvant,drinking,òl,yfed,bebida,sha,ka inu,haus,ivás,mmanya,minum,potabile,ngombé,"vedixwar,",bibens,dzeršana,girtavimas,drénken,minum,misotro,xorb,inu,drinken,drikkevann,picie,bebendo,băut,inu,nooang,kunwa,cabbaya,kunywa,dricka,minum,inom,içme,ichimlik,đồ uống,yokusela,mimu,ukuphuza,,,
sano,health,gesondheid,shëndetësor,sağlamlıq,sağlamlıq,zdravlje,salut,panglawas,zdraví,thanzi,salute,sante,zdravlje,sundhed,zdravie,zdravje,sláinte,heilsa,salud,tervis,osasun,terveys,santé,sûnens,slàinte,iechyd,saúde,kiwon lafiya,ola kino,noj qab haus huv,Egészség,ahụ ike,kesehatan,Salute,kesehatan,tendûrûstî,salutem,veselība,sveikata,Gesondheet,kesihatan,fahasalamana,saħħa,hauora,Gezondheid,Helse,zdrowie,saúde,sănătate,soifua maloloina,bophelo,utano,caafimaadka,afya,hälsa,kasehatan,kalusugan,sağlık,sog'lik,Sức khỏe,zempilo,ilera,impilo,,,
vetero,weather,weer,mot,hava,hava,vrijeme,temps,panahon,počasí,nyengo,camping,move tan,vrijeme,vejr,počasie,vreme,aimsir,veður,clima,ilm,eguraldi,sää,temps,Wetter,-aimsir,tywydd,tempo,weather,nana,huab cua,időjárás,weather,cuaca,tempo metereologico,weather,hewa,tempestatibus,laikapstākļi,oras,Wiederstatioun,cuaca,Weather,temp,rangi,weer,vær,pogoda,clima,vreme,tau,boemo ba leholimo,mamiriro okunze,cimilada,hali ya hewa,väder,hawa,panahon,hava,ob-havo,thời tiết,sezulu,ojo,sezulu,,,
Kuri,run,run,drejtuar,qaçış,qaçış,trčanje,correr,run,běh,amathamanga,scappu,kouri,trčanje,løb,beh,tek,reáchtáil,hlaupa,correr,jooks,Korrika egin,juosta,courir,drave,ruith,rhedeg,carreira,gudu,holo,mus dhia,fuss,na-agba ọsọ,Lari,correre,roto,rev,Curre,skrējiens,paleisti,lafen,jangka,Run,run,oma,rennen,løpe,biegać,corre,alerga,momoʻe,li matha,manya,baxsad,kukimbia,springa,lalumpatan,tumakbo,Çalıştırmak,yugurish,chạy,run,run,run,,,
Naĝi ,swim,swem,notoj,üzmək,üzmək,plivati,nedar,swim,plavat,kusambira,cacciucco,naje,plivati,svømme,plávanie,plavati,snámh,synda,nadar,ujuma,igeri,uida,nager,swimme,snàmh,nofio,natación,iyo,'auʻau,ua luam dej,úszás,igwu,berenang,nuotare,nglangi,ajnêkirin,natare,peldēt,plaukti,schwammen,berenang,milomano,jgħum,kaukau,zwemmen,svømme,pływać,nadar,înot,aʻau,"ho sesa,",dhidha,dabaal,kuogelea,simma,ngojay,paglangoy,yüzmek,suzmoq,bơi,hlamba,we,ukubhukuda,,,
Sango,sango,Sango,Sango,sanqo dili,sanqo dili,Sango,sango,sango,sango,sango,Sangu,Sango,Sango,Sango,Sango,Sango,Sango,sangó,Sango,Sango,sango,sango,Sango,sango,Saingea,Sango,sango,Sango,sango,sango,Sango,asụsụ Sango,sango,sango,sango,sango,Sango,Sango,Sango,Sango-,Sango,sango,Sango,sango,sango,Sango,sango,sango,Sango,sango,Sango,Sango,sango,sango,sango,Kadungora,sango,sango,Sango,Sango,Sango,sango,Sango,,,
Glacio,ice,ys,akull,buz,buz,led,gel,yelo,led,ayezi,Ghiaccio,glas,led,is,ľad,led,oighear,ís,hielo,jää,izotz,jää,la glace,iis,deighe,iâ,xeo,kankara,hau,ice,jég,ice,Es,ghiaccio,es,qeşa,glacies,ledus,ledas,Äis,ais,ranomandry,silġ,tio,ijs,is,lód,gelo,gheaţă,aisa,leqhoa,chando,baraf,barafu,is,es,yelo,buz,muz,Nước đá,ice,yinyin,ice,,,
Bovino,cow,koei,lopë,inək,inək,krava,vaca,sa baka,kráva,ng'ombe,vacca,bèf,krava,ko,krava,krava,bó,Cow,vaca,lehm,behi,lehmä,vache,ko,bhò,buwch,vaca,saniya,bipi,nyuj,tehén,ehi,lembu,mucca,cow,çêlek,vitula eligans,govs,karvė,Rou,lembu,ombivavy,baqra,kau,koe,ku,krowa,vaca,vacă,povi,khomo,mhou,lo'da,ng'ombe,ko,sapi,baka,inek,sigir,bò,inkomo,Maalu,inkomo,,,
Konstrui,to build,om te bou,për të ndërtuar,tikmək,tikmək,izgraditi,construir,sa pagtukod,postavit,Kuyamba,à assassin,bati,graditi,at bygge,postaviť,zgraditi,a thógáil,að byggja,para construir,ehitama,eraiki,rakentaa,construire,bouwe,a thogail,adeiladu,construír,to ginawa,i ka hana,rau muaj,építeni,ka Mee,untuk membangun,costruire,kanggo mbangun,to build,aedificare,uzbūvēt,statyti,ze bauen,bina,manamboatra,tibni,ki te hanga,bouwen,å bygge,budować,construir,a construi,e fausia,ho u ahele,kuvaka,si ay u dhistaan,kujenga,att bygga,mun ngawangun,magtayo,inşa etmek,qurmoq,để xây dựng,ukwakha,lati kọ,ukwakha,,,
Kristo,Christ,Christus,Krishti,Christ,Christ,Krist,Crist,Cristo,Kristus,Khristu,Cristu,Kris la,Krist,Kristus,Kristus,Kristus,christ,christ,Cristo,Kristus,Kristo,Kristus,Christ,Kristus,Criosd,Crist,Cristo,Almasihu,Kristo,Tswv Yexus,Krisztus,Christ,Kristus,Cristo,Kristus,îsa,Christus,Kristus,Kristus,Christi,Kristus,Kristy,Kristu,Karaiti,Christus,Kristus,Chrystus,Cristo,Hristos,Keriso,Kreste,Kristu,Masiix,Kristo,Christ,Kristus,Kristo,İsa,Masih,Đấng Christ,Kristu,Kristi,Kristu,,,
Vilaĝo,Villa,Villa,vilë,villa,villa,vila,vila,Villa,Vila,Villa,Villa,Villa,Vila,Villa,vila,Villa,Villa,Villa,Villa,villa,Villa,Huvila,Villa,villa,Villa,Villa,vila,Villa,Kauhale,villa,villa,Villa,Vila,Villa,Villa,Villa,villam,villa,vila,Villa,Villa,Villa,villa,Villa,Villa,Villa,Willa,vila,Vilă,Villa,Villa,Villa,Villa,Villa,Villa,Villa,Villa,Villa,Villa,Biệt thự,Villa,Villa,Villa,,,
Usono,United States,Verenigde State,Shtetet e Bashkuara,Amerika Birləşmiş Ştatları,Amerika Birləşmiş Ştatları,Sjedinjene Države,Estats Units,Estados Unidos,Spojené státy,United States,Stati Uniti,Etazini,Ujedinjene države,Forenede Stater,Spojené štáty,Združene države,Stáit Aontaithe,Bandaríkin,Estados Unidos,Ühendriigid,Ameriketako Estatu Batuak,Yhdysvallat,États Unis,Feriene Steaten,Na Stàitean Aonaichte,Unol Daleithiau,Estados Unidos,United States,Amelika Hui Pū' Ia,United States,Egyesült Államok,United States,Amerika Serikat,stati Uniti,Amerika Serikat,Dewletên Yekbûyî,united States,Savienotās Valstis,Jungtinės Valstijos,Vereenegt Staaten,Amerika Syarikat,Etazonia,Stati Uniti,United States,Verenigde Staten,forente stater,Stany Zjednoczone,Estados Unidos,Statele Unite,Iunaite Setete,United States,nyika dzakabatana,United States,Marekani,Förenta staterna,Amérika Sarikat,Estados Unidos,Amerika Birleşik Devletleri,Qo'shma Shtatlar,Hoa Kỳ,eunited States,United States,I-united states,,,
Ameriko,America,Amerika,Amerikë,Amerika,Amerika,Amerika,Amèrica,America,Amerika,America,America,Amerik,Amerika,Amerika,Amerika,Amerika,Meiriceá,Ameríka,America,Ameerika,America,Amerikka,Amérique,Amearika,America,America,América,Amurka,Amerika,America,Amerika,America,Amerika,America,Amerika,emrîka,Americae,Amerika,Amerika,Amerika,Amerika,America,Amerika,Amerika,Amerika,Amerika,Ameryka,América,America,Amerika,Amerika,America,America,Marekani,Amerika,Amerika,Amerika,Amerika,Amerika,Mỹ,America,America,Melika,,,
